State,District,Qid,NCES
Arizona,Higley Unified School District,Q16192142,0403780
Colorado,Elizabeth School District,,0803720
Florida,Alachua County Public Schools,Q7432152,1200030
Florida,Bay District Schools,Q4873985,1200090
Florida,Brevard Public Schools,Q4962528,1200150
Florida,Broward County Public Schools,Q4975900,1200180
Florida,Citrus County School District,Q5122885,1200270
Florida,Clay County School District,Q19877789,1200300
Florida,Collier County Public Schools,Q5283367,1200330
Florida,Columbia County School District (FL),Q5149677,1200360
Florida,Duval County Public Schools,Q5317603,1200480
Florida,Escambia County Public Schools,,1200510
Florida,Flagler Schools,,1200540
Florida,Hernando County Schools,Q16911441,1200810
Florida,Hillsborough County Public Schools,Q8778311,1200870
Florida,Lee County Schools,Q7432241,1201080
Florida,Leon County Schools,Q6524588,1201110
Florida,Marion County Public Schools,Q6765143,1201260
Florida,Martin County Schools,Q6775209,1201290
Florida,Nassau County School District,Q29093405,1201350
Florida,Okaloosa County School District,Q18155329,1201380
Florida,Orange County Public Schools,Q8778313,1201440
Florida,School District of Palm Beach County,Q7432244,1201500
Florida,Pasco County Schools,Q7141829,1201530
Florida,Pinellas County Schools,Q7195530,1201560
Florida,Polk County Public Schools,Q3907585,1201590
Florida,Santa Rosa County Schools,,1201650
Florida,School District of Manatee County,,1201230
Florida,School District of Osceola County,,1201470
Florida,Seminole County Public Schools,Q5487075,1201710
Florida,St. John's County School District,,1201740
Florida,Union County School District,Q16909768,1201890
Florida,Volusia County Schools,Q7941093,1201920
Florida,Wakulla County School District,,1201950
Florida,Walton County School District,Q118896786,1201980
Georgia,Cobb County School District,Q5138757,1301290
Georgia,Columbia County School District (GA),Q5149678,1301410
Georgia,Marietta City Schools,Q6763221,1303510
Indiana,Garrett-Keyser-Butler Community School District,,1803840
Indiana,Madison-Grant School Corporation,,1806240
Iowa,Ankeny Community School District,Q4766021,1903690
Iowa,Council Bluffs Community School District,Q5176209,1908220
Iowa,Dubuque Community School District,Q5311170,1909480
Iowa,Lewis Central Community School District,Q6536413,1916680
Kansas,Gardner Edgerton School District 231,Q5522576,2006420
Maryland,Caroll County School District,Q5046545,2400210
Minnesota,Rochester Public Schools District,,2731800
Minnesota,St. Francis Area Schools,,2733540
Minnesota,Stillwater Area School District,,2738190
Missouri,St. Joseph School District,,2927060
Nation,Department of Defense Educational Activitity,,
New Hampshire,White Mountains Regional School District - SAU 36,,3307050
North Carolina,Guilford County Schools,Q5615918,3701920
North Carolina,New Hanover County Schools,Q28122504,3703330
Oregon,Grants Pass School District 7,Q5596680,4105910
Oregon,Siuslaw School District,,4105100
Oregon,Tillamook School District 9,,4112320
Pennsylvania,Lehighton Area School District,Q6518872,4213500
Pennsylvania,Pennridge School District,Q7163489,4218750
Pennsylvania,Radnor Township School District,Q7281486,4219920
South Carolina,Beaufort County School District,Q4877467,4501110
South Carolina,Horry County Schools,Q5905299,4502490
South Carolina,Lexington School District 1,Q14709537,4502700
South Carolina,Lexington-Richland School District 5,,4502820
Tennessee,Knox County Schools,Q6423553,4702220
Tennessee,Monroe County Schools,Q17022443,4703000
Tennessee,Murfreesboro City Schools,Q55075482,4703150
Tennessee,Oak Ridge Schools,,4703240
Tennessee,Roane County Community School District,,4703590
Tennessee,Rutherford County Schools,Q7383334,4703690
Tennessee,Williamson County Schools,Q8021208,4704530
Tennessee,Wilson County Schools,Q55637780,4704550
Texas,Canyon Independent School District,Q5034215,4812810
Texas,Fort Bend Independent School District,Q5470808,4819650
Texas,Highland Park Independent School District,Q5758993,4823250
Texas,Katy Independent School District,Q6378510,4825170
Texas,Lamar Consolidated Independent School District,Q6480848,4826580
Texas,Nacogdoches Independent School District,Q6957314,4832090
Texas,North East Independent School District,Q6135283,4832940
Utah,Davis School District,Q5241963,4900210
Virginia,King George County Schools,Q106630171,5102100
Virginia,Lynchburg City Schools,Q17019424,5102340
Wisconsin,Germantown Schools,Q5552045,5505160
Wisconsin,Platteville School District,Q7202529,5511850
Wyoming,Laramie County School District No. 1,Q6488659,5601980
